DD:MM:YYYY,hh:mm:ss,°C,n/a,n/a,n/a,n/a,n/a
Date,Time,Zone:0.valueAirSensor,Zone:0.stateDoor,Zone:1.stateDoor,Zone:0.stateDoorAlarm,Zone:1.stateDoorAlarm,Zone:0.valueLightDimLevel
16.03.2020,11:17:18,17.9,1,0,1,0,100
16.03.2020,11:17:19,17.9,1,0,1,0,0
16.03.2020,11:17:21,17.9,1,0,1,0,0
16.03.2020,11:17:23,17.9,1,0,1,0,0
16.03.2020,11:17:24,17.9,1,0,1,0,100
16.03.2020,11:17:26,17.9,1,0,1,0,100
16.03.2020,11:17:28,17.9,1,0,1,0,100
16.03.2020,11:17:30,17.9,1,0,1,0,100
16.03.2020,11:17:31,17.9,1,0,1,0,0
16.03.2020,11:17:33,17.9,1,0,1,0,0
16.03.2020,11:17:35,17.9,1,0,1,0,0
16.03.2020,11:17:36,17.9,1,0,1,0,100
16.03.2020,11:17:38,17.9,1,0,1,0,100
16.03.2020,11:17:40,17.9,1,0,1,0,100
16.03.2020,11:17:42,17.9,1,0,1,0,100
16.03.2020,11:17:43,17.9,1,0,1,0,0
16.03.2020,11:17:45,17.9,1,0,1,0,0
16.03.2020,11:17:47,17.9,1,0,1,0,0
16.03.2020,11:17:48,17.9,1,0,1,0,100
16.03.2020,11:17:50,17.9,1,0,1,0,100
16.03.2020,11:17:52,17.9,1,0,1,0,100
16.03.2020,11:17:53,17.9,1,0,1,0,0
16.03.2020,11:17:55,17.9,1,0,1,0,0
16.03.2020,11:17:57,17.9,1,0,1,0,0
16.03.2020,11:17:59,17.9,1,0,1,0,0
16.03.2020,11:18:00,17.9,1,0,1,0,100
16.03.2020,11:18:02,17.9,1,0,1,0,100
16.03.2020,11:18:04,17.9,1,0,1,0,100
16.03.2020,11:18:05,17.9,1,0,1,0,0
16.03.2020,11:18:07,17.9,1,0,1,0,0
16.03.2020,11:18:09,17.9,1,0,1,0,0
16.03.2020,11:18:10,17.9,1,0,1,0,100
16.03.2020,11:18:12,17.9,1,0,1,0,100
16.03.2020,11:18:14,17.9,1,0,1,0,100
16.03.2020,11:18:16,17.9,1,0,1,0,100
16.03.2020,11:18:17,17.9,1,0,1,0,0
16.03.2020,11:18:19,17.9,1,0,1,0,0
16.03.2020,11:18:21,17.9,1,0,1,0,0
16.03.2020,11:18:22,17.9,1,0,1,0,100
16.03.2020,11:18:24,17.9,1,0,1,0,100
16.03.2020,11:18:26,17.9,1,0,1,0,100
16.03.2020,11:18:28,17.9,1,0,1,0,100
16.03.2020,11:18:29,17.9,1,0,1,0,0
16.03.2020,11:18:31,17.9,1,0,1,0,0
16.03.2020,11:18:33,17.9,1,0,1,0,0
16.03.2020,11:18:34,17.9,1,0,1,0,100
16.03.2020,11:18:36,17.9,1,0,1,0,100
16.03.2020,11:18:38,17.9,1,0,1,0,100
16.03.2020,11:18:39,17.9,1,0,1,0,0
16.03.2020,11:18:41,17.9,1,0,1,0,0
16.03.2020,11:18:43,17.9,0,0,1,0,0
16.03.2020,11:18:45,17.9,0,0,0,0,0
16.03.2020,11:18:46,17.9,0,0,0,0,0
16.03.2020,11:18:48,17.9,0,0,0,0,0
16.03.2020,11:18:50,17.9,0,0,0,0,0
16.03.2020,11:18:52,17.9,0,0,0,0,0
16.03.2020,11:18:53,17.9,0,0,0,0,0
16.03.2020,11:18:55,17.9,0,0,0,0,0
16.03.2020,11:18:57,17.9,0,0,0,0,0
16.03.2020,11:18:59,17.9,0,0,0,0,0
16.03.2020,11:19:00,17.9,0,0,0,0,0
16.03.2020,11:19:02,17.9,0,0,0,0,0
16.03.2020,11:19:04,17.9,0,0,0,0,0
16.03.2020,11:19:06,17.9,0,0,0,0,0
16.03.2020,11:19:07,17.9,1,0,0,0,100
16.03.2020,11:19:09,17.9,1,0,0,0,100
16.03.2020,11:19:11,17.9,1,0,0,0,100
16.03.2020,11:19:13,17.9,1,0,0,0,100
16.03.2020,11:19:15,17.9,1,0,0,0,100
16.03.2020,11:19:16,17.9,1,0,0,0,100
16.03.2020,11:19:18,17.9,1,0,0,0,100
16.03.2020,11:19:20,17.9,1,0,0,0,100
16.03.2020,11:19:22,17.9,1,0,0,0,100
16.03.2020,11:19:23,17.9,1,0,0,0,100
16.03.2020,11:19:25,17.9,1,0,0,0,100
16.03.2020,11:19:27,17.9,1,0,0,0,100
16.03.2020,11:19:28,17.9,1,0,0,0,100
16.03.2020,11:19:30,17.9,1,0,0,0,100
16.03.2020,11:19:32,17.9,1,0,0,0,100
16.03.2020,11:19:33,17.9,1,0,0,0,100
16.03.2020,11:19:35,17.9,1,0,0,0,100
16.03.2020,11:19:37,17.9,1,0,0,0,100
16.03.2020,11:19:39,17.9,1,0,0,0,100
16.03.2020,11:19:40,17.9,1,0,0,0,100
16.03.2020,11:19:42,17.9,1,0,0,0,100
16.03.2020,11:19:44,17.9,1,0,0,0,100
16.03.2020,11:19:45,17.9,1,0,0,0,100
16.03.2020,11:19:47,17.9,1,0,0,0,100
16.03.2020,11:19:49,17.9,0,0,0,0,0
16.03.2020,11:19:51,17.9,0,0,0,0,0
16.03.2020,11:19:52,17.9,0,0,0,0,0
16.03.2020,11:19:54,17.9,0,1,0,1,0
