DD:MM:YYYY,hh:mm:ss,�C,�C,n/a
Date,Time,TemperatureSensor:0.tempValue,TemperatureSensor:1.tempValue,OpenCloseSensor:0.stateOpenClose
18.03.2020,11:11:07,0,4,1
18.03.2020,11:11:09,0,4,1
18.03.2020,11:11:10,0,4,1
18.03.2020,11:11:12,0,4,1
18.03.2020,11:11:14,0,4,0
18.03.2020,11:11:15,0,4,0
18.03.2020,11:11:17,0,4,0
18.03.2020,11:11:19,0,4,0
18.03.2020,11:11:21,0,4,0
18.03.2020,11:11:22,0,4,0
18.03.2020,11:11:24,0,4,0
18.03.2020,11:11:26,0,4,0
18.03.2020,11:11:28,0,4,0
18.03.2020,11:11:29,0,4,0
18.03.2020,11:11:31,0,4,0
18.03.2020,11:11:33,0,4,0
18.03.2020,11:11:34,0,4,0
18.03.2020,11:11:36,0,4,0
18.03.2020,11:11:38,0,4,0
18.03.2020,11:11:39,0,4,0
18.03.2020,11:11:41,0,4,0
18.03.2020,11:11:43,0,4,0
18.03.2020,11:11:45,0,4,0
18.03.2020,11:11:46,0,4,0
18.03.2020,11:11:48,0,4,0
18.03.2020,11:11:50,0,3.9,0
18.03.2020,11:11:51,0,4,0
18.03.2020,11:11:53,0,4,0
18.03.2020,11:11:55,0,4,0
18.03.2020,11:11:57,0,4,0
18.03.2020,11:11:58,0,4,0
18.03.2020,11:12:00,0,4,0
18.03.2020,11:12:02,0,4,0
18.03.2020,11:12:03,0,4,0
18.03.2020,11:12:05,0,4,0
18.03.2020,11:12:07,0,4,0
18.03.2020,11:12:08,0,4,0
18.03.2020,11:12:10,41.07,4,0
18.03.2020,11:12:12,41.07,4,0
18.03.2020,11:12:14,41.07,4,0
18.03.2020,11:12:15,41.07,4,0
18.03.2020,11:12:17,41.07,4,0
18.03.2020,11:12:19,41.07,4,0
18.03.2020,11:12:20,41.07,4,0
18.03.2020,11:12:22,41.07,4,0
18.03.2020,11:12:24,41.07,4,0
18.03.2020,11:12:25,41.07,4,0
18.03.2020,11:12:27,41.07,4,0
18.03.2020,11:12:29,41.07,4,0
18.03.2020,11:12:31,41.07,4,0
18.03.2020,11:12:32,41.07,4,0
18.03.2020,11:12:34,41.07,4,0
18.03.2020,11:12:36,41.07,4,0
18.03.2020,11:12:37,41.07,4,0
18.03.2020,11:12:39,41.07,4,0
18.03.2020,11:12:41,41.07,4,0
18.03.2020,11:12:43,41.07,4,0
18.03.2020,11:12:44,41.07,4,0
18.03.2020,11:12:46,41.07,4,0
18.03.2020,11:12:48,41.07,4,0
18.03.2020,11:12:49,41.07,4,0
18.03.2020,11:12:51,41.07,4,0
18.03.2020,11:12:53,41.07,4,0
18.03.2020,11:12:54,41.07,4,0
18.03.2020,11:12:56,41.07,4,0
18.03.2020,11:12:58,41.07,4,0
18.03.2020,11:13:00,41.07,4,0
18.03.2020,11:13:01,41.07,4,0
18.03.2020,11:13:03,41.07,4,0
18.03.2020,11:13:05,41.07,4,0
18.03.2020,11:13:06,41.07,4,0
18.03.2020,11:13:08,41.07,4,0
18.03.2020,11:13:10,41.07,4,0
18.03.2020,11:13:12,41.07,4,0
18.03.2020,11:13:13,41.07,3.9,0
18.03.2020,11:13:15,41.07,4,0
18.03.2020,11:13:17,41.07,4,0
18.03.2020,11:13:18,41.07,4,0
18.03.2020,11:13:20,41.07,4,0
18.03.2020,11:13:22,41.07,4,0
18.03.2020,11:13:23,41.07,4,0
18.03.2020,11:13:25,41.07,4,0
18.03.2020,11:13:27,41.07,4,0
18.03.2020,11:13:29,41.07,4,0
18.03.2020,11:13:30,41.07,4,0
18.03.2020,11:13:32,41.07,4,0
18.03.2020,11:13:34,41.07,4,0
18.03.2020,11:13:35,41.07,4,0
18.03.2020,11:13:37,41.07,4,0
18.03.2020,11:13:39,41.07,4,0
18.03.2020,11:13:40,41.07,4,0
18.03.2020,11:13:42,41.07,4,0
18.03.2020,11:13:44,41.07,4,0
18.03.2020,11:13:46,41.07,4,0
18.03.2020,11:13:47,41.07,4,0
18.03.2020,11:13:49,41.07,4,0
18.03.2020,11:13:51,41.07,4,0
18.03.2020,11:13:52,41.07,4,0
18.03.2020,11:13:54,41.07,4,0
18.03.2020,11:13:56,41.07,4,0
18.03.2020,11:13:58,41.07,4,0
18.03.2020,11:13:59,41.07,4,0
18.03.2020,11:14:01,41.07,4,0
18.03.2020,11:14:03,41.07,4,0
18.03.2020,11:14:04,41.07,3.9,0
18.03.2020,11:14:06,41.07,4,0
18.03.2020,11:14:08,41.07,4,0
18.03.2020,11:14:09,41.07,4,0
18.03.2020,11:14:11,41.07,4,0
18.03.2020,11:14:13,41.07,4,0
18.03.2020,11:14:15,41.07,4,0
18.03.2020,11:14:16,41.07,4,0
18.03.2020,11:14:18,41.07,4,0
18.03.2020,11:14:20,41.07,4,0
18.03.2020,11:14:21,41.07,4,0
18.03.2020,11:14:23,41.07,4,0
18.03.2020,11:14:25,41.07,4,0
18.03.2020,11:14:26,41.07,4,0
18.03.2020,11:14:28,41.07,4,0
18.03.2020,11:14:30,41.07,4,0
18.03.2020,11:14:32,41.07,4,0
18.03.2020,11:14:33,41.07,4,0
18.03.2020,11:14:35,41.07,4,0
18.03.2020,11:14:37,41.07,4,0
18.03.2020,11:14:38,41.07,4,0
18.03.2020,11:14:40,41.07,4,0
18.03.2020,11:14:42,41.07,4,0
18.03.2020,11:14:44,41.07,4,0
18.03.2020,11:14:45,41.07,4,0
18.03.2020,11:14:47,41.07,4,0
18.03.2020,11:14:49,41.07,4,0
18.03.2020,11:14:50,41.07,4,0
18.03.2020,11:14:52,41.07,4,0
18.03.2020,11:14:54,41.07,4,0
18.03.2020,11:14:55,41.07,4,0
18.03.2020,11:14:57,41.07,4,0
18.03.2020,11:14:59,41.07,4,0
18.03.2020,11:15:01,41.07,4,0
18.03.2020,11:15:02,41.07,4,0
18.03.2020,11:15:04,41.07,4,0
18.03.2020,11:15:06,41.07,4,0
18.03.2020,11:15:07,41.07,4,0
18.03.2020,11:15:09,41.07,4,0
18.03.2020,11:15:11,41.07,4,0
18.03.2020,11:15:13,41.07,4,0
18.03.2020,11:15:14,41.07,4,0
18.03.2020,11:15:16,41.07,4,0
18.03.2020,11:15:18,41.07,4,0
18.03.2020,11:15:19,41.07,4,0
18.03.2020,11:15:21,41.07,4,0
18.03.2020,11:15:23,41.07,4,0
18.03.2020,11:15:24,41.07,4,0
18.03.2020,11:15:26,41.07,3.9,0
18.03.2020,11:15:28,41.07,4,0
18.03.2020,11:15:30,41.07,4,0
18.03.2020,11:15:31,41.07,4,0
18.03.2020,11:15:33,41.07,4,0
18.03.2020,11:15:35,41.07,4,0
18.03.2020,11:15:36,41.07,4,0
18.03.2020,11:15:38,41.07,4,0
18.03.2020,11:15:40,41.07,4,0
18.03.2020,11:15:41,41.07,4,0
18.03.2020,11:15:43,41.07,4,0
18.03.2020,11:15:45,41.07,4,0
18.03.2020,11:15:47,41.07,4,0
18.03.2020,11:15:48,41.07,4,0
18.03.2020,11:15:50,41.07,4,0
18.03.2020,11:15:52,41.07,4,0
18.03.2020,11:15:53,41.07,4,0
18.03.2020,11:15:55,41.07,4,0
18.03.2020,11:15:57,41.07,4,0
18.03.2020,11:15:59,41.07,3.9,0
18.03.2020,11:16:00,41.07,4,0
18.03.2020,11:16:02,41.07,4,0
18.03.2020,11:16:04,41.07,4,0
18.03.2020,11:16:05,41.07,4,0
18.03.2020,11:16:07,41.07,4,0
18.03.2020,11:16:09,41.07,4,0
18.03.2020,11:16:10,41.07,4,0
18.03.2020,11:16:12,41.07,4,0
18.03.2020,11:16:14,41.07,3.9,0
18.03.2020,11:16:16,41.07,4,0
18.03.2020,11:16:17,41.07,4,0
18.03.2020,11:16:19,41.07,4,0
18.03.2020,11:16:21,41.07,3.9,0
18.03.2020,11:16:22,41.07,4,0
18.03.2020,11:16:24,41.07,4,0
18.03.2020,11:16:26,41.07,4,0
18.03.2020,11:16:28,41.07,4,0
18.03.2020,11:16:29,41.07,4,0
18.03.2020,11:16:31,41.07,4,0
18.03.2020,11:16:33,41.07,4,0
18.03.2020,11:16:34,41.07,4,0
18.03.2020,11:16:36,41.07,4,0
18.03.2020,11:16:38,41.07,4,0
18.03.2020,11:16:39,41.07,3.9,0
18.03.2020,11:16:41,41.18,4,0
18.03.2020,11:16:43,41.18,4,0
18.03.2020,11:16:45,41.18,4,0
18.03.2020,11:16:46,41.18,4,0
18.03.2020,11:16:48,41.18,4,0
18.03.2020,11:16:50,41.18,4,0
18.03.2020,11:16:51,41.18,4,0
18.03.2020,11:16:53,41.18,3.9,0
18.03.2020,11:16:55,41.18,4,0
18.03.2020,11:16:56,41.18,4,0
18.03.2020,11:16:58,41.18,4,0
18.03.2020,11:17:00,41.18,4,0
18.03.2020,11:17:02,41.18,4,0
18.03.2020,11:17:03,41.18,3.9,0
18.03.2020,11:17:05,41.18,4,0
18.03.2020,11:17:07,41.18,4,0
18.03.2020,11:17:08,41.18,4,0
18.03.2020,11:17:10,41.18,4,0
18.03.2020,11:17:12,41.18,4,0
18.03.2020,11:17:14,41.18,4,0
18.03.2020,11:17:15,41.18,4,0
18.03.2020,11:17:17,41.18,4,0
18.03.2020,11:17:19,41.18,4,0
18.03.2020,11:17:20,41.18,4,0
18.03.2020,11:17:22,41.18,4,0
18.03.2020,11:17:24,41.18,3.9,0
18.03.2020,11:17:25,41.18,4,0
18.03.2020,11:17:27,41.18,4,0
18.03.2020,11:17:29,41.18,4,0
18.03.2020,11:17:31,41.18,4,0
18.03.2020,11:17:32,41.18,4,0
18.03.2020,11:17:34,41.18,4,0
18.03.2020,11:17:36,41.18,4,0
18.03.2020,11:17:37,41.18,4,0
18.03.2020,11:17:39,41.18,4,0
18.03.2020,11:17:41,41.18,4,0
18.03.2020,11:17:43,41.18,4,0
18.03.2020,11:17:44,41.18,4,0
18.03.2020,11:17:46,41.18,4,0
18.03.2020,11:17:48,41.18,4,0
18.03.2020,11:17:49,41.18,4,0
18.03.2020,11:17:51,41.18,4,0
18.03.2020,11:17:53,41.18,3.9,0
18.03.2020,11:17:54,41.18,4,0
18.03.2020,11:17:56,41.18,4,0
18.03.2020,11:17:58,41.18,4,0
18.03.2020,11:18:00,41.18,4,0
18.03.2020,11:18:01,41.18,4,0
18.03.2020,11:18:03,41.18,4,0
18.03.2020,11:18:05,41.18,4,0
18.03.2020,11:18:06,41.18,4,0
18.03.2020,11:18:08,41.18,4,0
18.03.2020,11:18:10,41.18,4,0
18.03.2020,11:18:11,41.18,4,0
18.03.2020,11:18:13,41.18,4,0
18.03.2020,11:18:15,41.18,4,0
18.03.2020,11:18:17,41.18,4,0
18.03.2020,11:18:18,41.18,4,0
18.03.2020,11:18:20,41.18,4,0
18.03.2020,11:18:22,41.18,4,0
18.03.2020,11:18:23,41.18,4,0
18.03.2020,11:18:25,41.18,4,0
18.03.2020,11:18:27,41.18,4,0
18.03.2020,11:18:29,41.18,4,0
18.03.2020,11:18:30,41.18,4,0
18.03.2020,11:18:32,41.18,4,0
18.03.2020,11:18:34,41.18,4,0
18.03.2020,11:18:35,41.18,4,0
18.03.2020,11:18:37,41.18,4,0
18.03.2020,11:18:39,41.18,4,0
18.03.2020,11:18:40,41.18,4,0
18.03.2020,11:18:42,41.18,4,0
18.03.2020,11:18:44,41.18,3.9,0
18.03.2020,11:18:46,41.18,4,0
18.03.2020,11:18:47,41.18,4,0
18.03.2020,11:18:49,41.18,4,0
18.03.2020,11:18:51,41.18,4,0
18.03.2020,11:18:52,41.18,4,0
18.03.2020,11:18:54,41.18,4,0
18.03.2020,11:18:56,41.18,4,0
18.03.2020,11:18:58,41.18,4,0
18.03.2020,11:18:59,41.18,4,0
18.03.2020,11:19:01,41.18,4,0
18.03.2020,11:19:03,41.18,4,0
18.03.2020,11:19:04,41.18,4,0
18.03.2020,11:19:06,41.18,4,0
18.03.2020,11:19:08,41.18,4,0
18.03.2020,11:19:09,41.18,3.9,0
18.03.2020,11:19:11,41.18,4,0
18.03.2020,11:19:13,41.18,4,0
18.03.2020,11:19:15,41.18,4,0
18.03.2020,11:19:16,41.18,4,0
18.03.2020,11:19:18,41.18,4,0
18.03.2020,11:19:20,41.18,4,0
18.03.2020,11:19:21,41.18,4,0
18.03.2020,11:19:23,41.18,4,0
18.03.2020,11:19:25,41.18,4,0
18.03.2020,11:19:26,41.18,4,0
18.03.2020,11:19:28,41.18,4,0
18.03.2020,11:19:30,41.18,4,0
18.03.2020,11:19:32,41.18,4,0
18.03.2020,11:19:33,41.18,4,0
18.03.2020,11:19:35,41.18,4,0
18.03.2020,11:19:37,41.18,4,0
18.03.2020,11:19:38,41.18,4,0
18.03.2020,11:19:40,41.18,3.9,0
18.03.2020,11:19:42,41.18,4,0
18.03.2020,11:19:44,41.18,4,0
18.03.2020,11:19:45,41.18,4,0
18.03.2020,11:19:47,41.18,4,0
18.03.2020,11:19:49,41.18,4,0
18.03.2020,11:19:50,41.18,4,0
18.03.2020,11:19:52,41.18,4,0
18.03.2020,11:19:54,41.18,4,0
18.03.2020,11:19:55,41.18,4,0
18.03.2020,11:19:57,41.18,4,0
18.03.2020,11:19:59,41.18,4,0
18.03.2020,11:20:01,41.18,4,0
18.03.2020,11:20:02,41.18,4,0
18.03.2020,11:20:04,41.18,4,0
18.03.2020,11:20:06,41.18,4,0
18.03.2020,11:20:07,41.18,4,0
18.03.2020,11:20:09,41.18,4,0
18.03.2020,11:20:11,41.18,4,0
18.03.2020,11:20:13,41.18,4,0
18.03.2020,11:20:14,41.18,4,0
18.03.2020,11:20:16,41.18,4,0
18.03.2020,11:20:18,41.18,4,0
18.03.2020,11:20:19,41.18,4,0
18.03.2020,11:20:21,41.18,4,0
18.03.2020,11:20:23,41.18,4,0
18.03.2020,11:20:24,41.18,4,0
18.03.2020,11:20:26,41.18,4,0
18.03.2020,11:20:28,41.18,4,0
18.03.2020,11:20:30,41.18,4,0
18.03.2020,11:20:31,41.18,4,0
18.03.2020,11:20:33,41.18,4,0
18.03.2020,11:20:35,41.18,4,0
18.03.2020,11:20:36,41.18,4,0
18.03.2020,11:20:38,41.18,4,0
18.03.2020,11:20:40,41.18,4,0
18.03.2020,11:20:41,41.18,4,0
18.03.2020,11:20:43,41.18,4,0
18.03.2020,11:20:45,41.18,4,0
18.03.2020,11:20:47,41.18,4,0
18.03.2020,11:20:48,41.18,3.9,0
18.03.2020,11:20:50,41.18,3.9,0
18.03.2020,11:20:52,41.18,3.9,0
18.03.2020,11:20:53,41.18,4,0
18.03.2020,11:20:55,41.18,4,0
18.03.2020,11:20:57,41.18,4,0
18.03.2020,11:20:59,41.18,4,0
18.03.2020,11:21:00,41.18,4,0
