DD:MM:YYYY,hh:mm:ss,°C,°C,°C,°C,°C,°C,°C,n/a,n/a,n/a,n/a,V,V,n/a,n/a,n/a,n/a
Date,Time,FU:0.valueAmbientSensor,Zone:0.valueAirSensor,Zone:1.valueAirSensor,Zone:0.valueEvaporatorSensor,Zone:1.valueEvaporatorSensor,Zone:0.valueBioSensor,Zone:1.valueBioSensor,Zone:0.stateDoor,Zone:1.stateDoor,Zone:0.stateDoorAlarm,Zone:1.stateDoorAlarm,Zone:0.valueFanSpeed,Zone:1.valueFanSpeed,Zone:0.valueLightDimLevel,Zone:0.stateZone,Zone:1.stateZone,Zone:0.stateDefrostHeaterRequest
20.03.2020,14:07:54,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:56,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:57,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:07:59,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:08:01,25,15,-15,0,-18.2,17.9,0,0,0,0,0,6,0,0,0,0,0
20.03.2020,14:08:03,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,0,0,0,0,0
20.03.2020,14:08:04,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,0,0,0,0,0
20.03.2020,14:08:06,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,0,0,0,0
20.03.2020,14:08:08,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,0,0,0,0
20.03.2020,14:08:10,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,0,0,0,0
20.03.2020,14:08:11,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,0,0,0,0
20.03.2020,14:08:13,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,0,0,0,0
20.03.2020,14:08:15,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,0,0,0,0
20.03.2020,14:08:17,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,0,0,0,0
20.03.2020,14:08:18,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,0,0,0,0
20.03.2020,14:08:20,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,0,0,0,0
20.03.2020,14:08:22,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,0,0,0,0
20.03.2020,14:08:23,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,0,0,0,0
20.03.2020,14:08:25,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,0,0,0,0
20.03.2020,14:08:27,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,33,0,0,0
20.03.2020,14:08:28,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,33,0,0,0
20.03.2020,14:08:30,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,33,0,0,0
20.03.2020,14:08:32,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,33,0,0,0
20.03.2020,14:08:34,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,33,0,0,0
20.03.2020,14:08:35,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,33,0,0,0
20.03.2020,14:08:37,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,33,0,0,0
20.03.2020,14:08:39,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,33,0,0,0
20.03.2020,14:08:41,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,33,0,0,0
20.03.2020,14:08:42,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,33,0,0,0
20.03.2020,14:08:44,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,33,0,0,0
20.03.2020,14:08:46,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,33,0,0,0
20.03.2020,14:08:48,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,33,0,0,0
20.03.2020,14:08:49,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,33,0,0,0
20.03.2020,14:08:51,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,33,0,0,0
20.03.2020,14:08:53,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,33,0,0,0
20.03.2020,14:08:54,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,6,33,0,0,0
20.03.2020,14:08:56,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,2,33,0,0,0
20.03.2020,14:08:58,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,2,33,0,0,0
20.03.2020,14:09:00,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,0,33,0,0,0
20.03.2020,14:09:02,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,0,33,0,0,0
20.03.2020,14:09:03,25,15,-15,0,-18.2,17.9,0,0,0,0,0,6,0,33,0,0,0
20.03.2020,14:09:05,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,0,33,0,0,0
20.03.2020,14:09:07,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,0,33,0,0,0
20.03.2020,14:09:09,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,0,33,0,0,0
20.03.2020,14:09:10,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,0,33,0,0,0
20.03.2020,14:09:12,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,0,33,0,0,0
20.03.2020,14:09:14,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:09:16,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:09:17,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:09:19,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:09:21,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:09:22,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,7,33,0,0,0
20.03.2020,14:09:24,25,15,-15,0,-18.2,18,0,0,0,0,0,0,7,33,0,0,0
20.03.2020,14:09:26,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,7,33,0,0,0
20.03.2020,14:09:28,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,7,33,0,0,0
20.03.2020,14:09:29,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,7,33,0,0,0
20.03.2020,14:09:31,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:09:33,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:09:35,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:09:36,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:09:38,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:09:40,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:09:41,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:09:43,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:09:45,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:09:47,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:09:48,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:09:50,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:09:52,25,15,-15,0,-18.2,17.9,0,0,0,0,0,6,0,33,0,0,0
20.03.2020,14:09:54,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,0,33,0,0,0
20.03.2020,14:09:56,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,0,33,0,0,0
20.03.2020,14:09:57,25,15,-15,0,-18.1,17.9,0,0,0,0,0,6,0,33,0,0,0
20.03.2020,14:09:59,25,15,-15,0,-18.1,17.9,0,0,0,0,0,0,0,33,0,0,0
20.03.2020,14:10:01,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:03,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:05,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
20.03.2020,14:10:06,25,15,-15,0,-18.2,17.9,0,0,0,0,0,0,0,0,0,0,0
